industry,facility_size,leak_category,leak_contribution,intervention_id,intervention_category,intervention_cost,expected_CO2_reduction,implementation_difficulty,industry_fit,adoption_outcome
textile,medium,energy,0.443,INT-EN-001,energy,48304.0,14.28,medium,True,79.8
textile,small,energy,0.273,INT-EN-001,energy,62042.0,13.04,medium,True,56.1
textile,small,energy,0.113,INT-EN-001,energy,60406.0,12.99,medium,True,46.5
plastic,large,energy,0.485,INT-EN-001,energy,49962.0,12.38,medium,True,83.4
food,large,energy,0.583,INT-EN-001,energy,52126.0,12.01,medium,True,83.9
textile,small,energy,0.198,INT-EN-001,energy,57802.0,12.26,medium,True,50.5
textile,large,energy,0.23,INT-EN-001,energy,58011.0,11.15,medium,True,71.6
food,large,energy,0.447,INT-EN-001,energy,59632.0,12.35,medium,True,79.3
plastic,small,energy,0.325,INT-EN-001,energy,56076.0,13.49,medium,True,57.1
plastic,medium,energy,0.096,INT-EN-001,energy,53956.0,11.43,medium,True,58.9
plastic,small,energy,0.226,INT-EN-001,energy,51594.0,13.11,medium,True,55.2
food,medium,energy,0.503,INT-EN-001,energy,49505.0,10.71,medium,True,73.7
food,medium,energy,0.341,INT-EN-001,energy,49263.0,13.24,medium,True,75.0
plastic,small,energy,0.268,INT-EN-001,energy,48196.0,11.07,medium,True,52.5
textile,large,energy,0.584,INT-EN-001,energy,59599.0,13.31,medium,True,82.6
plastic,small,energy,0.185,INT-EN-001,energy,51798.0,12.8,medium,True,52.5
textile,small,energy,0.305,INT-EN-001,energy,57101.0,12.82,medium,True,53.9
food,large,energy,0.337,INT-EN-001,energy,52193.0,11.17,medium,True,77.9
textile,large,energy,0.382,INT-EN-001,energy,52473.0,12.84,medium,True,78.6
textile,medium,energy,0.123,INT-EN-001,energy,54780.0,12.47,medium,True,63.5
textile,medium,energy,0.252,INT-EN-001,energy,55341.0,12.27,medium,True,66.8
plastic,large,energy,0.368,INT-EN-001,energy,48541.0,13.15,medium,True,79.2
food,large,energy,0.556,INT-EN-001,energy,50549.0,10.77,medium,True,78.1
plastic,large,energy,0.245,INT-EN-001,energy,62473.0,11.72,medium,True,71.2
food,large,energy,0.103,INT-EN-001,energy,53929.0,14.35,medium,True,71.4
food,large,energy,0.35,INT-EN-001,energy,51963.0,13.52,medium,True,78.3
food,small,energy,0.216,INT-EN-001,energy,62207.0,11.53,medium,True,52.2
food,small,energy,0.392,INT-EN-001,energy,61180.0,11.36,medium,True,52.7
plastic,large,energy,0.155,INT-EN-001,energy,46980.0,11.49,medium,True,67.7
food,small,energy,0.441,INT-EN-001,energy,56338.0,11.37,medium,True,56.4
plastic,large,energy,0.144,INT-EN-001,energy,62055.0,12.12,medium,True,67.5
textile,medium,materials,0.561,INT-EN-001,energy,47160.0,12.71,medium,False,24.0
plastic,large,energy,0.582,INT-EN-001,energy,56585.0,14.12,medium,True,85.8
plastic,medium,energy,0.137,INT-EN-001,energy,60436.0,13.61,medium,True,59.2
food,large,energy,0.394,INT-EN-001,energy,53557.0,12.03,medium,True,81.0
textile,large,energy,0.209,INT-EN-001,energy,50655.0,13.42,medium,True,78.1
food,large,energy,0.156,INT-EN-001,energy,60357.0,11.79,medium,True,67.6
plastic,medium,energy,0.16,INT-EN-001,energy,48656.0,10.7,medium,True,60.4
plastic,large,energy,0.434,INT-EN-001,energy,53245.0,11.82,medium,True,79.4
plastic,large,energy,0.174,INT-EN-001,energy,50656.0,11.56,medium,True,72.3
food,small,energy,0.352,INT-EN-002,energy,10566.0,7.15,low,True,68.9
plastic,large,energy,0.549,INT-EN-002,energy,13726.0,7.09,low,True,78.5
plastic,medium,energy,0.359,INT-EN-002,energy,12051.0,7.2,low,True,66.0
food,large,energy,0.153,INT-EN-002,energy,11920.0,6.34,low,True,66.7
textile,medium,energy,0.277,INT-EN-002,energy,12669.0,6.1,low,True,70.2
textile,large,energy,0.358,INT-EN-002,energy,13255.0,6.8,low,True,73.6
textile,large,energy,0.462,INT-EN-002,energy,10929.0,6.88,low,True,75.4
textile,medium,energy,0.124,INT-EN-002,energy,13569.0,5.79,low,True,57.3
plastic,medium,energy,0.493,INT-EN-002,energy,13606.0,6.02,low,True,72.4
textile,medium,energy,0.374,INT-EN-002,energy,12261.0,6.43,low,True,72.3
textile,large,energy,0.392,INT-EN-002,energy,13552.0,5.76,low,True,66.9
food,medium,energy,0.483,INT-EN-002,energy,12616.0,6.18,low,True,75.9
textile,medium,energy,0.244,INT-EN-002,energy,10767.0,5.81,low,True,67.6
plastic,large,energy,0.368,INT-EN-002,energy,13570.0,7.05,low,True,74.5
textile,medium,energy,0.575,INT-EN-002,energy,10627.0,7.18,low,True,77.5
food,medium,energy,0.086,INT-EN-002,energy,11836.0,7.13,low,True,58.2
textile,small,energy,0.558,INT-EN-002,energy,13013.0,5.74,low,True,64.7
textile,large,energy,0.135,INT-EN-002,energy,13797.0,6.82,low,True,63.0
plastic,large,energy,0.205,INT-EN-002,energy,10715.0,7.04,low,True,68.0
food,small,energy,0.083,INT-EN-002,energy,10386.0,6.71,low,True,53.5
textile,small,energy,0.497,INT-EN-002,energy,13540.0,7.03,low,True,75.4
food,medium,energy,0.145,INT-EN-002,energy,12016.0,6.98,low,True,63.6
plastic,medium,energy,0.18,INT-EN-002,energy,11175.0,6.91,low,True,68.9
plastic,medium,energy,0.102,INT-EN-002,energy,13383.0,6.91,low,True,63.8
plastic,large,energy,0.318,INT-EN-002,energy,13023.0,6.77,low,True,70.7
plastic,large,energy,0.381,INT-EN-002,energy,12719.0,6.79,low,True,75.2
textile,medium,energy,0.327,INT-EN-002,energy,10629.0,5.79,low,True,68.7
textile,medium,energy,0.41,INT-EN-002,energy,11683.0,6.32,low,True,68.7
textile,small,energy,0.298,INT-EN-002,energy,11907.0,5.96,low,True,60.9
textile,large,energy,0.419,INT-EN-002,energy,11338.0,7.06,low,True,77.2
textile,medium,energy,0.347,INT-EN-002,energy,12852.0,7.25,low,True,73.5
food,medium,energy,0.244,INT-EN-002,energy,13215.0,6.49,low,True,67.9
food,large,energy,0.226,INT-EN-002,energy,11403.0,5.86,low,True,66.7
food,small,energy,0.525,INT-EN-002,energy,11540.0,5.82,low,True,69.4
textile,medium,energy,0.481,INT-EN-002,energy,11319.0,6.87,low,True,72.7
food,large,energy,0.189,INT-EN-002,energy,12090.0,5.84,low,True,61.2
textile,large,energy,0.516,INT-EN-002,energy,13765.0,5.8,low,True,78.8
food,small,energy,0.306,INT-EN-002,energy,11890.0,5.82,low,True,60.9
plastic,large,energy,0.232,INT-EN-002,energy,11965.0,6.67,low,True,60.2
plastic,small,energy,0.412,INT-EN-002,energy,12537.0,6.83,low,True,68.9
plastic,large,energy,0.256,INT-EN-003,energy,71717.0,7.96,high,True,59.4
textile,medium,materials,0.385,INT-EN-003,energy,71830.0,7.62,high,False,14.5
food,large,energy,0.172,INT-EN-003,energy,61858.0,7.26,high,True,53.6
food,medium,energy,0.391,INT-EN-003,energy,55393.0,7.47,high,True,55.2
food,large,energy,0.328,INT-EN-003,energy,70098.0,8.97,high,True,57.6
textile,large,energy,0.139,INT-EN-003,energy,69532.0,7.86,high,True,51.7
textile,large,energy,0.462,INT-EN-003,energy,69875.0,7.63,high,True,62.2
plastic,medium,energy,0.592,INT-EN-003,energy,64317.0,9.15,high,True,65.4
food,medium,energy,0.497,INT-EN-003,energy,73282.0,8.77,high,True,63.4
plastic,large,energy,0.431,INT-EN-003,energy,69159.0,8.66,high,True,65.1
plastic,medium,energy,0.202,INT-EN-003,energy,67377.0,8.86,high,True,51.4
food,small,energy,0.289,INT-EN-003,energy,72715.0,8.41,high,True,35.8
food,medium,energy,0.235,INT-EN-003,energy,66761.0,7.75,high,True,49.8
textile,large,energy,0.258,INT-EN-003,energy,69244.0,8.74,high,True,65.4
plastic,large,energy,0.379,INT-EN-003,energy,74703.0,8.48,high,True,60.3
textile,medium,energy,0.15,INT-EN-003,energy,62375.0,6.96,high,True,47.5
food,small,energy,0.259,INT-EN-003,energy,63447.0,9.1,high,True,39.0
textile,large,energy,0.202,INT-EN-003,energy,61594.0,8.98,high,True,57.2
plastic,small,energy,0.236,INT-EN-003,energy,59957.0,7.57,high,True,36.3
textile,small,energy,0.492,INT-EN-003,energy,70535.0,7.85,high,True,47.0
plastic,medium,energy,0.549,INT-EN-003,energy,70608.0,7.24,high,True,61.7
food,medium,materials,0.347,INT-EN-003,energy,63693.0,6.89,high,False,10.5
plastic,small,energy,0.114,INT-EN-003,energy,64125.0,8.04,high,True,33.9
food,small,energy,0.111,INT-EN-003,energy,68865.0,7.3,high,True,30.6
plastic,medium,energy,0.138,INT-EN-003,energy,72074.0,6.8,high,True,43.7
plastic,small,energy,0.486,INT-EN-003,energy,71653.0,7.42,high,True,47.2
food,medium,energy,0.199,INT-EN-003,energy,61699.0,9.03,high,True,49.2
food,large,energy,0.105,INT-EN-003,energy,57945.0,9.01,high,True,55.1
food,small,energy,0.402,INT-EN-003,energy,59962.0,8.17,high,True,40.6
textile,small,energy,0.402,INT-EN-003,energy,58423.0,8.66,high,True,42.0
plastic,large,energy,0.394,INT-EN-003,energy,74451.0,7.67,high,True,61.4
textile,large,energy,0.193,INT-EN-003,energy,63324.0,7.56,high,True,57.0
food,medium,energy,0.166,INT-EN-003,energy,69391.0,8.5,high,True,53.2
plastic,large,energy,0.146,INT-EN-003,energy,58053.0,8.46,high,True,56.3
plastic,large,energy,0.089,INT-EN-003,energy,74615.0,8.2,high,True,52.5
plastic,large,energy,0.403,INT-EN-003,energy,60577.0,6.92,high,True,59.5
textile,medium,energy,0.089,INT-EN-003,energy,66866.0,7.36,high,True,46.5
textile,medium,energy,0.286,INT-EN-003,energy,68464.0,8.54,high,True,56.6
food,large,energy,0.348,INT-EN-003,energy,55493.0,8.71,high,True,64.5
food,small,energy,0.285,INT-EN-003,energy,68560.0,7.16,high,True,33.1
plastic,large,energy,0.555,INT-EN-004,energy,7766.0,4.76,low,True,68.6
plastic,small,energy,0.349,INT-EN-004,energy,9116.0,5.13,low,True,65.7
plastic,medium,energy,0.53,INT-EN-004,energy,9260.0,4.22,low,True,75.8
plastic,medium,energy,0.276,INT-EN-004,energy,9059.0,5.36,low,True,65.8
plastic,medium,energy,0.293,INT-EN-004,energy,8760.0,5.43,low,True,65.1
plastic,medium,energy,0.285,INT-EN-004,energy,7559.0,4.31,low,True,64.9
plastic,small,energy,0.131,INT-EN-004,energy,9146.0,5.35,low,True,54.7
