intervention_id,name,category,applicable_industries,applicable_leak_types,estimated_cost,expected_co2_reduction,implementation_difficulty,payback_period_years,roi_pct,industry_fit,description
INT-EN-001,Rooftop Solar PV + Grid Peak Shaving,energy,"[""plastic"", ""textile"", ""food""]","[""energy""]",55000.0,12.5,medium,3.2,135.0,True,Install 50kWp on-site solar PV array to displace peak daytime grid electricity.
INT-EN-002,Biodiesel (B20/B100) Switch for Backup Generators,energy,"[""plastic"", ""textile"", ""food""]","[""energy""]",12000.0,6.5,low,1.1,85.0,True,Switch diesel generators to certified B20 or hydrotreated vegetable oil (HVO) fuel.
INT-EN-003,Battery Energy Storage System (BESS),energy,"[""plastic"", ""textile"", ""food""]","[""energy""]",65000.0,8.0,high,4.8,70.0,True,Deploy 100kWh lithium iron phosphate BESS for load shifting and diesel generator minimization.
INT-EN-004,Extruder Barrel Ceramic Thermal Insulation Blankets,energy,"[""plastic""]","[""energy""]",8500.0,4.8,low,0.8,195.0,True,"Removable multi-layer ceramic insulation jackets for plastic injection/extrusion barrels, cutting heat loss 40%."
INT-EN-005,Variable Speed Drives (VSD) on Hydraulic & Extrusion Motors,energy,"[""plastic"", ""textile"", ""food""]","[""energy""]",18000.0,5.2,medium,1.8,140.0,True,Retrofit inverter drives to match motor speed with real-time pressure demands in moulding cycles.
INT-EN-006,Compressed Air Ultrasonic Leak Audit & Flow Control,energy,"[""plastic"", ""textile"", ""food""]","[""energy""]",4500.0,3.1,low,0.4,260.0,True,Detect and plug pneumatic leaks and reduce plant air header pressure by 0.5 bar.
INT-EN-007,Waste Heat Recovery from Process Chillers,energy,"[""plastic"", ""food""]","[""energy""]",24000.0,5.8,medium,2.3,110.0,True,Plate heat exchanger capturing compressor desuperheater heat to preheat plant water.
INT-MAT-001,30% Post-Consumer Recycled (PCR) HDPE Pellet Blending,materials,"[""plastic""]","[""materials""]",22000.0,13.2,medium,1.4,160.0,True,Incorporate certified high-purity recycled HDPE resin to substitute virgin polymer in blow moulding.
INT-MAT-002,Closed-Loop PET Flake Feedstock Substitution (50% Blend),materials,"[""plastic"", ""textile""]","[""materials""]",28000.0,16.5,medium,1.2,180.0,True,Substitute virgin PET resin with food-grade or bottle-grade closed-loop recycled flakes (saving ~1650 kgCO2e/tonne).
INT-MAT-003,Recycled PP Copolymer Compounding for Moulding,materials,"[""plastic""]","[""materials""]",19000.0,12.6,low,1.0,175.0,True,"Blend 40% secondary recycled polypropylene into crates and containers, saving 1265 kgCO2e/tonne virgin resin."
INT-MAT-004,Bio-based Polymer / PLA Drop-in Blending,materials,"[""plastic"", ""textile""]","[""materials""]",34000.0,7.5,high,3.5,55.0,True,Formulate 20% compostable/bio-sourced PLA compound for thermoformed packaging.
INT-MAT-005,Virgin LDPE/LLDPE Film Down-Gauging with Nano-Additives,materials,"[""plastic""]","[""materials""]",16000.0,9.4,medium,0.9,210.0,True,"Reduce film thickness by 25% without sacrificing tensile strength, directly cutting virgin resin mass."
INT-MAT-006,Recycled Polyester (rPET) Yarn Conversion,materials,"[""textile""]","[""materials""]",31000.0,11.0,medium,2.1,115.0,True,Convert spinning mills from virgin polyester staple to GRS-certified rPET chip.
INT-MAT-007,Alternative Plant-Based Secondary Packaging,materials,"[""food""]","[""materials""]",15000.0,6.2,low,1.3,130.0,True,Replace single-use plastic wrap with recycled FSC-certified unbleached corrugated cartonage.
INT-WST-001,Beside-the-Press Regrind & Closed-Loop Sprue Reprocessing,waste,"[""plastic""]","[""waste"", ""materials""]",14000.0,8.8,low,0.7,240.0,True,Install soundproof granulators next to injection presses for instant feeding of runners and rejects back into the hopper.
INT-WST-002,Post-Industrial Plastic Purge Pelletizing Line,waste,"[""plastic""]","[""waste""]",42000.0,10.5,medium,1.9,125.0,True,Single-screw shredder-extruder line to convert purge lumps and start-up scrap into clean re-usable masterbatch.
INT-WST-003,Solvent & Ink Closed-Loop Distillation Unit,waste,"[""plastic"", ""textile""]","[""waste""]",17500.0,4.2,low,1.1,165.0,True,Vacuum distillation recovery system recovering 95% of printing and wash solvents for reuse.
INT-WST-004,Pre-Consumer Fabric Scrap Shredding & Needle-Punching,waste,"[""textile""]","[""waste""]",38000.0,7.8,medium,2.4,95.0,True,Convert cutting-room selvage into non-woven insulation pads instead of sending to landfill.
INT-WST-005,On-Site Anaerobic Digestion for Food Processing Slurry,waste,"[""food""]","[""waste"", ""energy""]",85000.0,14.0,high,4.2,80.0,True,Micro-biogas digester transforming organic food waste effluent into renewable process steam.
INT-WST-006,Automated Color/Resin Optical Scrap Sorter,waste,"[""plastic""]","[""waste""]",48000.0,9.1,high,2.8,105.0,True,NIR optical flake sorter preventing cross-contamination in recycling streams.
